nombre,area_nombre,sector_nombre,subsector,diametro_copa,macizo,nombre_cientifico,familia_nombre,sinonimia,nombre_vulgar,especie_origen,endemica,nativa,region_fitogeografica,habito_crecimiento,ciclo_hoja,ciclo_especie
Científica,Jardin,Sistematico,C 081,6,FALSO,Zanthoxylum petiolare,Rutaceae,Fagara naranjillo (Griseb.) Engl.,Naranjillo,América del Sur,FALSO,VERDADERO,"Chaco Húmedo,Chaco Seco,",Árbol,Caducifolia,Perenne
Científica,Jardin,Sistematico,C 010,0,VERDADERO,Zephyranthes candida,Amaryllidaceae,,azucenita de la costa,"Argentina, Uruguay",FALSO,VERDADERO,"Delta e Islas del Paraná,Esteros del Iberá,Selva Paranaense,",Geófita,Perennifolia,Perenne
Científica,Jardin,Sistematico,C 010,0,VERDADERO,Zephyranthes rosea,Amaryllidaceae,, ,Cuba,FALSO,FALSO,"s/d,",Geófita,Perennifolia,Perenne
Científica,Jardin,Medicinal,C 031,6,FALSO,Ziziphus mistol,Rhamnaceae,,Mistol,"Argentina, Brasil, Paraguay",FALSO,VERDADERO,"Chaco Húmedo,Chaco Seco,",Árbol,Perennifolia,Perenne
Científica,Jardin,Argentina,C 129,4,FALSO,Ziziphus mistol,Rhamnaceae,,Mistol,"Argentina, Brasil, Paraguay",FALSO,VERDADERO,"Chaco Húmedo,Chaco Seco,",Árbol,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Adiantum formosanum,Pteridaceae  ,, ,"China, Taiwan",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,0,FALSO,Adiantum peruvianum,Pteridaceae  ,, ,"Bolivia, Perú, Ecuador",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Adiantum poiretii,Adiantaceae,Adiantum thalictroides Willd. ex Schltdl.,,America del Sur,FALSO,VERDADERO,"Espinal,Montes de Sierras y Bolsones,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Adiantum raddianum,Adiantaceae,,Culandrillo,"América del Sur, América central",FALSO,VERDADERO,"Delta e Islas del Paraná,Selva Paranaense,Chaco Húmedo,Chaco Seco,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Adiantum raddianum,Adiantaceae,,Culandrillo,"América del Sur, América central",FALSO,VERDADERO,"Delta e Islas del Paraná,Selva Paranaense,Chaco Húmedo,Chaco Seco,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,0,FALSO,Adiantum sp.,Adiantaceae,, , ,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea calyculata,Bromeliaceae,, ,"Argentina, Brasil",FALSO,VERDADERO,"Selva Paranaense,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea caudata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea caudata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea caudata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea caudata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea fasciata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,VERDADERO,Aechmea fasciata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,VERDADERO,Aechmea fasciata,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea gamosepala,Bromeliaceae,Aechmea gamosepala var. gamosepala, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea gamosepala,Bromeliaceae,Aechmea gamosepala var. gamosepala, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea miniata,Bromeliaceae,Aechmea miniata Baker. Var. Discolor Hort., ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea nudicaulis,Bromeliaceae,, ,"América del Sur, América central",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea orlandiana,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea recurvata,Bromeliaceae,"Aechmea ampullacea Mez.,Aechmea recurvata var. recurvata", ,"Argentina, Bolivia, Paraguay",FALSO,VERDADERO,"Selva Paranaense,Campos y Malezales,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,FALSO,Aechmea recurvata,Bromeliaceae,"Aechmea ampullacea Mez.,Aechmea recurvata var. recurvata", ,"Argentina, Bolivia, Paraguay",FALSO,VERDADERO,"Selva Paranaense,Campos y Malezales,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea sp.,Bromeliaceae,, , ,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,VERDADERO,Aechmea sp.,Bromeliaceae,, , ,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,1,VERDADERO,Aechmea sp.,Bromeliaceae,, , ,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea sp.,Bromeliaceae,, , ,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,2,0,FALSO,Aechmea warasii,Bromeliaceae,, ,Brasil,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
